Name,Type,Kind,Proficiency,Cost,DamageDiceMultiplier,DamageDice,DamageType,Weight,Properties,VersatileDamageDiceMultiplier,VersatileDamageDice,Range,Bonus,Rarity,ExtraText
Club,Melee,club,Simple,1 sp,1,4,bludgeoning,2,light,,,,,,
Dagger,Melee,dagger,Simple,2 gp,1,4,piercing,1,finesse\59\light\59\thrown,,,20/60,,,
Greatclub,Melee,greatclub,Simple,2 sp,1,8,bludgeoning,10,two-handed,,,,,,
Handaxe,Melee,handaxe,Simple,5 gp,1,6,slashing,2,light\59\thrown,,,20/60
Javelin,Melee,javelin,Simple,5 sp,1,6,piercing,2,thrown,,,20/60,,,
Light hammer,Melee,hammer,Simple,2 gp,1,4,bludgeoning,2,light\59\thrown,,,20/60,,,
Mace,Melee,mace,Simple,5 gp,1,6,bludgeoning,4,,,,,,,
Quarterstaff,Melee,quarterstaff,Simple,2 sp,1,6,bludgeoning,4,versatile,1,8,,,,
Staff,Melee,quarterstaff,Simple,2 sp,1,6,bludgeoning,4,versatile,1,8,,,,
Sickle,Melee,sickle,Simple,1 gp,1,4,slashing,2,light,,,,,,
Spear,Melee,spear,Simple,1 gp,1,6,piercing,3,thrown\59\versatile,1,8,20/60,,,
Light crossbow,Ranged,crossbow,Simple,25 gp,1,8,piercing,5,ammunition\59\loading\59\two-handed,,,80/320,,,
Dart,Ranged,dart,Simple,5 cp,1,4,piercing,1/4,finesse\59\thrown,,,20/60,,,
Shortbow,Ranged,shortbow,Simple,25 gp,1,6,piercing,2,ammunition\59\two-handed,,,80/320,,,
Sling,Ranged,sling,Simple,1 sp,1,4,bludgeoning,,ammunition,,,30/120,,,
Battleaxe,Melee,battleaxe,Martial,10 gp,1,8,slashing,4,versatile,1,10,
Flail,Melee,flail,Martial,10 gp,1,8,bludgeoning,2,,,,,,,
Glaive,Melee,glaive,Martial,20 gp,1,10,slashing,6,heavy\59\reach\59\two-handed,,,,,,
Greataxe,Melee,greataxe,Martial,30 gp,1,12,slashing,7,heavy\59\two-handed,,,,,,
Greatsword,Melee,greatsword,Martial,50 gp,2,6,slashing,6,heavy\59\two-handed,,,,,,
Halberd,Melee,halberd,Martial,20 gp,1,10,slashing,6,heavy\59\reach\59\two-handed,,,,,,
Lance,Melee,lance,Martial,10 gp,1,12,piercing,6,reach\59\special,,,,,,
Longsword,Melee,longsword,Martial,15 gp,1,8,slashing,3,versatile,1,10,,,,
Maul,Melee,maul,Martial,10 gp,2,6,bludgeoning,10,heavy\59\two-handed,,,,,,
Morningstar,Melee,morningstar,Martial,15 gp,1,8,piercing,4,,,,,,,
Pike,Melee,pike,Martial,5 gp,1,10,piercing,18,heavy\59\readh\59\two-handed,,,,,,
Rapier,Melee,rapier,Martial,25 gp,1,8,piercing,2,finesse,,,,,,
Scimitar,Melee,scimitar,Martial,25 gp,1,6,slashing,3,finesse\59\light,,,,,,
Shortsword,Melee,shortsword,Martial,10 gp,1,6,piercing,2,finesse\59\light,,,,,,
Trident,Melee,trident,Martial,5 gp,1,6,piercing,4,thrown\59\versatile,1,8,20/60,,,
War pick,Melee,pick,Martial,5 gp,1,8,piercing,2,,,,,,,
Warhammer,Melee,hammer,Martial,15 gp,1,8,bludgeoning,2,versatile,1,10,,,,
Whip,Melee,whip,Martial,2 gp,1,4,slashing,3,finesse\59\reach,,,,,,
Blowgun,Ranged,blowgun,Martial,10 gp,0,1,piercing,1,ammunition\59\loading,,,25/100,,,
Hand crossbow,Ranged,crossbow,Martial,75 gp,1,6,piercing,3,ammunition\59\light\59\loading,,,30/120,,,
Heavy crossbow,Ranged,crossbow,Martial,50 gp,1,10,piercing,18,ammunition\59\heavy\59\loading\59\two-handed,,,100/400,,,
Longbow,Ranged,longbow,Martial,50 gp,1,8,piercing,2,ammunition\59\heavy\59\two-handed,,,150/600
Net,Ranged,net,Martial,1 gp,0,0,,3,special\59\thrown,,,5/15,,,
